clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
33,2023-01-01,8.4,31,263,136,101,833,548,16.7,1672606800,2.5,251,5.8,1672563600,10.0,1672585200,0.0,0.0,1001,final,73.5,1008,0,0.0,132,743,6319,3253,3172,13.2,1672560000,251,12.4,1.6
43,2023-01-02,5.2,31,264,136,102,834,550,14.4,1672693200,1.1,93,3.6,1672722000,9.4,1672660800,0.3,0.3,1008,final,63.8,1015,0,0.0,43,744,6329,3265,1024,12.0,1672646400,93,6.6,1.1
100,2023-01-03,10.3,31,264,137,102,835,552,15.0,1672797600,1.0,89,5.8,1672768800,10.0,1672743600,0.5,0.5,1011,final,84.3,1017,0,0.0,26,745,6340,3278,623,12.9,1672732800,89,10.2,3.0
98,2023-01-04,14.0,31,265,137,102,836,553,16.7,1672869600,1.0,112,4.0,1672837200,13.9,1672830000,2.3,2.3,1011,final,93.1,1018,0,0.0,27,747,6351,3292,649,15.1,1672819200,112,11.3,2.2
74,2023-01-05,11.7,31,265,138,102,837,555,17.2,1672956000,2.3,191,5.4,1672912800,10.6,1672988400,11.8,11.8,1011,final,86.6,1018,0,0.0,87,748,6363,3307,2095,14.0,1672905600,191,10.2,1.8
5,2023-01-06,7.9,31,266,138,102,837,557,17.8,1673042400,2.4,155,2.7,1673028000,7.8,1673010000,0.0,0.0,1016,final,76.9,1022,0,0.0,130,750,6375,3323,3123,12.1,1672992000,155,4.8,1.3
0,2023-01-07,5.3,31,266,139,102,838,560,20.6,1673128800,1.4,234,3.1,1673085600,10.0,1673078400,0.0,0.0,1014,final,58.0,1020,0,0.0,65,752,6388,3340,1570,14.1,1673078400,234,5.5,1.0
67,2023-01-08,6.9,31,267,140,102,839,562,18.3,1673211600,2.3,179,3.1,1673208000,8.9,1673179200,0.0,0.0,1014,final,63.7,1021,0,0.0,92,754,6401,3357,2207,14.2,1673164800,179,3.9,1.1
100,2023-01-09,10.8,31,267,141,103,840,564,15.5,1673251200,1.0,106,5.4,1673316000,11.7,1673298000,17.0,17.0,1012,final,84.4,1019,0,0.0,30,756,6416,3376,725,13.5,1673251200,106,11.8,2.7
68,2023-01-10,12.1,32,268,141,103,841,567,16.7,1673370000,1.5,190,5.8,1673355600,11.7,1673420400,13.8,13.8,1011,final,88.6,1017,0,0.0,62,759,6430,3396,1478,14.0,1673337600,190,12.3,2.0
5,2023-01-11,8.6,32,269,142,103,842,570,17.2,1673474400,1.2,155,2.7,1673481600,8.9,1673442000,0.0,0.0,1016,final,78.6,1023,0,0.0,61,762,6446,3417,1463,12.4,1673424000,155,3.9,1.2
0,2023-01-12,5.6,32,269,143,103,843,572,22.2,1673564400,1.1,105,3.1,1673542800,10.6,1673532000,0.0,0.0,1015,final,53.8,1022,0,0.0,43,766,6465,3439,1024,15.9,1673510400,105,7.8,1.4
