collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,Average
2023-01-03,East Bay Municipal Utility District,"Oakland, CA",740000,299863.5327407408,0.40522099019019026
2023-01-04,East Bay Municipal Utility District,"Oakland, CA",740000,58661.312527407405,0.07927204395595595
2023-01-05,East Bay Municipal Utility District,"Oakland, CA",740000,352958.65585321095,0.4769711565583932
2023-01-10,East Bay Municipal Utility District,"Oakland, CA",740000,104551.03439379846,0.14128518161324116
2023-01-11,East Bay Municipal Utility District,"Oakland, CA",740000,88848.66133333332,0.12006575855855854
2023-01-12,East Bay Municipal Utility District,"Oakland, CA",740000,131196.18027128425,0.17729213550173548
2023-01-17,East Bay Municipal Utility District,"Oakland, CA",740000,207263.290265233,0.28008552738545
2023-01-18,East Bay Municipal Utility District,"Oakland, CA",740000,114733.0865665349,0.15504471157639851
2023-01-19,East Bay Municipal Utility District,"Oakland, CA",740000,44650.97421261261,0.06033915434136839
2023-01-24,East Bay Municipal Utility District,"Oakland, CA",740000,190607.3406464646,0.2575774873600873
2023-01-25,East Bay Municipal Utility District,"Oakland, CA",740000,222792.70074431057,0.30107121722204133
2023-01-26,East Bay Municipal Utility District,"Oakland, CA",740000,136098.77610256412,0.18391726500346503
2023-01-31,East Bay Municipal Utility District,"Oakland, CA",740000,169680.82492077726,0.2292984120551044
2023-02-01,East Bay Municipal Utility District,"Oakland, CA",740000,86389.36362666667,0.11674238327927929
2023-02-02,East Bay Municipal Utility District,"Oakland, CA",740000,372553.10058666667,0.503450135927928
2023-02-07,East Bay Municipal Utility District,"Oakland, CA",740000,477891.5797150996,0.6457994320474318
2023-02-08,East Bay Municipal Utility District,"Oakland, CA",740000,26955.12952121212,0.0364258507043407
2023-02-09,East Bay Municipal Utility District,"Oakland, CA",740000,250850.73651758084,0.33898748178051463
2023-02-14,East Bay Municipal Utility District,"Oakland, CA",740000,318418.7396601308,0.43029559413531193
2023-02-15,East Bay Municipal Utility District,"Oakland, CA",740000,316561.0802007168,0.42778524351448216
2023-02-16,East Bay Municipal Utility District,"Oakland, CA",740000,116777.68460455486,0.15780768189804711
2023-02-21,East Bay Municipal Utility District,"Oakland, CA",740000,150537.54569204737,0.203429115800064
2023-02-22,East Bay Municipal Utility District,"Oakland, CA",740000,171991.8888270945,0.2324214713879655
2023-02-23,East Bay Municipal Utility District,"Oakland, CA",740000,157631.6261082024,0.21301571095703029
2023-02-28,East Bay Municipal Utility District,"Oakland, CA",740000,320031.11481413204,0.43247447947855683
2023-03-01,East Bay Municipal Utility District,"Oakland, CA",740000,262376.14946341456,0.3545623641397494
2023-03-02,East Bay Municipal Utility District,"Oakland, CA",740000,197099.00605582923,0.26635000818355303
2023-03-07,East Bay Municipal Utility District,"Oakland, CA",740000,104552.23139784946,0.14128679918628306
2023-03-08,East Bay Municipal Utility District,"Oakland, CA",740000,102444.53814492752,0.13843856506071286
2023-03-09,East Bay Municipal Utility District,"Oakland, CA",740000,116552.50899800398,0.1575033905378432
2023-03-14,East Bay Municipal Utility District,"Oakland, CA",740000,146413.49117602993,0.1978560691567972
2023-03-15,East Bay Municipal Utility District,"Oakland, CA",740000,85797.45938508371,0.11594251268254556
2023-03-16,East Bay Municipal Utility District,"Oakland, CA",740000,65766.77161111111,0.08887401569069069
2023-03-21,East Bay Municipal Utility District,"Oakland, CA",740000,126237.3697142857,0.17059104015444013
2023-03-22,East Bay Municipal Utility District,"Oakland, CA",740000,87345.77955555555,0.11803483723723723
2023-03-23,East Bay Municipal Utility District,"Oakland, CA",740000,18835.39643572327,0.025453238426653067
2023-03-28,East Bay Municipal Utility District,"Oakland, CA",740000,120207.80393849988,0.1624429782952701
